,Country,% Stimulants (kg),% Stimulants (kcal),% Confirmed,% Deaths,% Recovered,% Active,Population,Population Recovered
0,Afghanistan,0.3078,0.075,0.142134196,0.006185779,0.123373921,0.012574497,38928000,48027
1,Albania,0.1055,0.2501,2.967300916,0.050951374,1.792635659,1.123713883,2838000,50875
2,Algeria,0.2216,0.1493,0.244897085,0.006558153,0.167572198,0.070766734,44357000,74330
3,Angola,0.0508,0.0441,0.061687473,0.00146055,0.056807699,0.003419224,32522000,18475
4,Antigua and Barbuda,0.1564,0.4937,0.293877551,0.007142857,0.190816327,0.095918367,98000,187
5,Argentina,0.4378,0.2315,4.356147387,0.108226635,3.905192058,0.342728695,45377000,1772059
6,Armenia,0.1863,0.6985,5.681224628,0.105345061,5.398410014,0.177469553,2956000,159577
7,Australia,0.2928,0.5134,0.112025316,0.003529549,0.10128912,0.007206648,25754000,26086
8,Austria,0.4106,0.3656,4.739982051,0.089679156,4.496870092,0.153432802,8914000,400851
9,Azerbaijan,0.0587,0.3061,2.285536209,0.031222794,2.225573803,0.028739612,10108000,224961
10,Bahamas,0.1556,0.4164,2.100763359,0.044783715,1.735114504,0.32086514,393000,6819
11,Bangladesh,0.0529,0.0193,0.316691106,0.004823066,0.284343586,0.027524454,169809000,482841
12,Barbados,0.1721,0.2936,0.583972125,0.006271777,0.470034843,0.107665505,287000,1349
13,Belarus,0.1142,0.3951,2.740896,0.018912,2.612704,0.10928,9375000,244941
14,Belgium,0.2461,0.1194,6.286322188,0.185427703,0,6.100894485,11515000,0
15,Belize,0.0849,0.2966,2.872792363,0.073031026,2.739618138,0.060143198,419000,11479
16,Benin,0.0042,0.0181,0.034343517,0.000450487,0.029183389,0.00470964,12209000,3563
17,Bolivia,0.2083,0.2761,1.952445629,0.092435313,1.438614287,0.421396029,11633000,167354
18,Bosnia and Herzegovina,0.3504,0.8414,3.76208473,0.145534898,2.960316977,0.656232856,3281000,97128
19,Botswana,0.1336,0.2564,1.014372033,0.007034959,0.844799309,0.162537764,2317000,19574
20,Brazil,0.3024,0.1385,4.460165146,0.108602912,3.979468585,0.372093649,211812000,8428992
21,Bulgaria,0.2818,0.2122,3.227255666,0.134416053,2.788956258,0.303883355,6927000,193191
22,Burkina Faso,0.0211,0.0184,0.053709994,0.000641056,0.048031383,0.005037554,20903000,10040
23,Cabo Verde,0.1671,0.1789,2.586330935,0.024280576,2.461151079,0.100899281,556000,13684
24,Cambodia,0.126,0.0404,0.003058657,0,0.002929599,0.000129057,15497000,454
25,Cameroon,0.0234,0.0377,0.118031431,0.001782089,0.110914354,0.005334988,26598000,29501
26,Central African Republic,0.2008,0.0853,0.103291925,0.001304348,0.101138716,0.000848861,4830000,4885
27,Chad,0.0087,0,0.020578302,0.000740653,0.016880962,0.002956687,16877000,2849
28,China,0.1781,0.4762,0.007155524,0.000343843,0.006685183,0.000126499,1402385000,93752
29,Colombia,0.0057,0.0969,4.350794839,0.112638541,4.090144406,0.148011892,49444000,2022331
30,Congo,0.0171,0.1299,0.57167452,0.014516129,0.379720913,0.177437477,5518000,20953
31,Costa Rica,0.3181,0.2488,3.843435727,0.052279397,3.055781647,0.735374682,5111000,156181
32,Cote d'Ivoire,0.0759,0.5311,0.11295893,0.000618911,0.106105062,0.006234957,26175000,27773
33,Croatia,0.2458,1.2162,5.848905473,0.127960199,5.648706468,0.072238806,4020000,227078
34,Cuba,0.0657,0.0587,0.283760305,0.00206542,0.230821736,0.05087315,11281000,26039
35,Cyprus,0.2387,1.0325,2.621706711,0.017481359,0.170422535,2.433802817,1207000,2057
36,Czechia,0.134,0.5037,9.612840612,0.159845091,8.555328481,0.89766704,10716000,916789
37,Denmark,0.4069,0.8868,3.463218391,0.038016812,3.307359753,0.117841825,5829000,192786
