,Country,Obesity,Total_Active_Cases,size,,below 50k,50k - 1m,above 1m,,Range
0,Afghanistan,4.5,4895,below,,4895,,,,4895
1,Albania,22.3,31891,below,,31891,,,,31891
2,Algeria,26.6,31390,below,,31390,,,,31390
3,Angola,6.8,1112,below,,1112,,,,1112
4,Antigua and Barbuda,19.1,94,below,,94,,,,94
5,Argentina,28.5,155520,above,,,155520,,,155520
6,Armenia,20.9,5246,below,,5246,,,,5246
7,Australia,30.4,1856,below,,1856,,,,1856
8,Austria,21.9,13677,below,,13677,,,,13677
9,Azerbaijan,19.9,2905,below,,2905,,,,2905
10,Bahamas,32.1,1261,below,,1261,,,,1261
11,Bangladesh,3.4,46739,below,,46739,,,,46739
12,Barbados,24.8,309,below,,309,,,,309
13,Belarus,26.6,10245,below,,10245,,,,10245
14,Belgium,24.5,702518,above,,,702518,,,702518
15,Belize,22.4,252,below,,252,,,,252
16,Benin,8.2,575,below,,575,,,,575
17,Bolivia,18.7,49021,below,,49021,,,,49021
18,Bosnia and Herzegovina,19.4,21531,below,,21531,,,,21531
19,Botswana,16.1,3766,below,,3766,,,,3766
20,Brazil,22.3,788139,above,,,788139,,,788139
21,Bulgaria,27.4,21050,below,,21050,,,,21050
22,Burkina Faso,4.5,1053,below,,1053,,,,1053
23,Cabo Verde,10.6,561,below,,561,,,,561
24,Cambodia,3.5,20,below,,20,,,,20
25,Cameroon,9.5,1419,below,,1419,,,,1419
26,Central African Republic,6.3,41,below,,41,,,,41
27,Chad,4.8,499,below,,499,,,,499
28,China,6.6,1774,below,,1774,,,,1774
29,Colombia,22.1,73183,above,,,73183,,,73183
30,Congo,8.4,9791,below,,9791,,,,9791
31,Costa Rica,25.7,37585,below,,37585,,,,37585
32,Cote d'Ivoire,9,1632,below,,1632,,,,1632
33,Croatia,27.1,2904,below,,2904,,,,2904
34,Cuba,26.7,5739,below,,5739,,,,5739
35,Cyprus,22.6,29376,below,,29376,,,,29376
36,Czechia,28.5,96194,above,,,96194,,,96194
37,Denmark,21.3,6869,below,,6869,,,,6869
38,Djibouti,12.2,26,below,,26,,,,26
39,Dominica,28.2,11,below,,11,,,,11
40,Dominican Republic,26.9,53688,above,,,53688,,,53688
41,Ecuador,19.3,32297,below,,32297,,,,32297
42,Egypt,31.1,27448,below,,27448,,,,27448
43,El Salvador,22.7,4133,below,,4133,,,,4133
44,Estonia,23.8,9408,below,,9408,,,,9408
45,Eswatini,13.5,4108,below,,4108,,,,4108
46,Ethiopia,3.6,13777,below,,13777,,,,13777
47,Fiji,30,1,below,,1,,,,1
48,Finland,24.9,15574,below,,15574,,,,15574
49,France,23.2,3058427,above,,,,3058427,,3058427
50,Gabon,13.4,589,below,,589,,,,589
51,Gambia,8.7,217,below,,217,,,,217
52,Georgia,23.3,5536,below,,5536,,,,5536
53,Germany,25.7,181464,above,,,181464,,,181464
54,Ghana,9.7,6095,below,,6095,,,,6095
55,Greece,27.4,63498,above,,,63498,,,63498
56,Grenada,20.2,1,below,,1,,,,1
57,Guatemala,18.8,8166,below,,8166,,,,8166
58,Guinea,6.6,261,below,,261,,,,261
59,Guinea-Bissau,8.2,299,below,,299,,,,299
60,Guyana,19.2,797,below,,797,,,,797
61,Haiti,20.5,2357,below,,2357,,,,2357
62,Honduras,19.4,88410,above,,,88410,,,88410
63,Hungary,28.6,84150,above,,,84150,,,84150
64,Iceland,23.1,33,below,,33,,,,33
65,India,3.8,148766,above,,,148766,,,148766
66,Indonesia,6.9,176433,above,,,176433,,,176433
67,Iran (Islamic Republic of),25.5,153584,above,,,153584,,,153584
68,Iraq,27.4,15138,below,,15138,,,,15138
69,Ireland,26.9,175510,above,,,175510,,,175510
70,Israel,26.7,71368,above,,,71368,,,71368
71,Italy,22.9,427034,above,,,427034,,,427034
72,Jamaica,24.4,4259,below,,4259,,,,4259
73,Japan,4.4,39039,below,,39039,,,,39039
74,Jordan,33.4,9996,below,,9996,,,,9996
75,Kazakhstan,21.3,27159,below,,27159,,,,27159
76,Kenya,6,15612,below,,15612,,,,15612
77,"Korea, South",4.9,8560,below,,8560,,,,8560
78,Kuwait,37,7979,below,,7979,,,,7979
79,Kyrgyzstan,15.4,2027,below,,2027,,,,2027
80,Lao People's Democratic Republic,4.5,4,below,,4,,,,4
81,Latvia,25.7,10594,below,,10594,,,,10594
82,Lebanon,31.3,113137,above,,,113137,,,113137
83,Lesotho,13.5,6491,below,,6491,,,,6491
84,Liberia,8.6,102,below,,102,,,,102
85,Lithuania,28.4,45338,below,,45338,,,,45338
86,Luxembourg,24.2,2501,below,,2501,,,,2501
87,Madagascar,4.5,569,below,,569,,,,569
88,Malawi,4.7,14690,below,,14690,,,,14690
89,Malaysia,15.3,50894,above,,,50894,,,50894
90,Maldives,7.9,2046,below,,2046,,,,2046
91,Mali,7.1,1768,below,,1768,,,,1768
92,Malta,31,2401,below,,2401,,,,2401
93,Mauritania,11.3,382,below,,382,,,,382
94,Mauritius,11.5,34,below,,34,,,,34
95,Mexico,28.4,278156,above,,,278156,,,278156
96,Mongolia,19.6,572,below,,572,,,,572
97,Montenegro,24.9,7675,below,,7675,,,,7675
98,Morocco,25.6,12664,below,,12664,,,,12664
99,Mozambique,6,16871,below,,16871,,,,16871
100,Namibia,15,1114,below,,1114,,,,1114
101,Nepal,3.8,1959,below,,1959,,,,1959
