,Country,% Protein in Animal Products,%Fat in Animal Products,% COVID-19 Deaths
0,Afghanistan,9.7523,21.6397,0.00618577887381833
1,Albania,27.7469,32.0002,0.0509513742071882
2,Algeria,13.835999999999999,14.4175,0.0065581531663548
3,Angola,15.2311,15.3041,0.00146054978168624
4,Antigua and Barbuda,33.1901,27.7033,0.007142857142857141
5,Argentina,31.9799,30.3572,0.108226634638694
6,Armenia,22.8846,29.6642,0.10534506089309899
7,Australia,32.9787,24.1099,0.00352954880795216
8,Austria,30.0009,27.8268,0.0896791563832174
9,Azerbaijan,16.3039,32.1198,0.0312227938266719
10,Bahamas,34.1684,30.2259,0.0447837150127227
11,Bangladesh,9.9195,9.8365,0.00482306591523417
12,Barbados,28.2153,25.8451,0.0062717770034843206
13,Belarus,27.0935,23.8181,0.018912
14,Belgium,28.4976,26.7378,0.185427702996092
15,Belize,18.9431,23.7877,0.0730310262529833
16,Benin,11.1646,6.1742,0.000450487345400934
17,Bolivia,22.6898,30.4177,0.0924353133327602
18,Bosnia and Herzegovina,18.3339,24.6478,0.145534897896983
19,Botswana,20.29,16.9634,0.00703495899870522
20,Brazil,29.0557,24.8515,0.108602912016316
21,Bulgaria,24.988000000000003,27.1456,0.134416053125451
22,Burkina Faso,7.1846,7.2367,0.000641056307707028
23,Cabo Verde,18.5332,21.9578,0.0242805755395683
24,Cambodia,14.6494,18.851,0.0
25,Cameroon,8.1066,6.3264,0.00178208887886307
26,Canada,25.1828,23.1663,0.0542026708562451
27,Central African Republic,21.8538,18.5453,0.0013043478260869599
28,Chad,15.4353,16.8564,0.0007406529596492269
29,Chile,25.6899,32.5206,0.0970467385721623
30,China,30.6446,31.0465,0.00034384281064044503
31,Colombia,25.6945,21.4008,0.112638540571151
32,Congo,23.8551,12.9993,0.0145161290322581
33,Costa Rica,28.0821,20.5571,0.0522793973782039
34,Cote d'Ivoire,11.5833,5.3253,0.0006189111747851
35,Croatia,29.7692,29.3768,0.127960199004975
36,Cuba,18.4193,25.9025,0.0020654197322932397
37,Cyprus,28.43,20.9578,0.0174813587406794
38,Czechia,30.7412,25.1685,0.15984509145203402
39,Denmark,32.3912,35.4131,0.0380168124892777
40,Djibouti,9.6191,11.1065,0.00637651821862348
41,Dominica,27.2601,26.925,0.0
42,Dominican Republic,25.6914,15.2779,0.0266761904761905
43,Ecuador,22.7577,20.9283,0.0856832847924162
44,Egypt,12.4994,15.9979,0.00952749422140214
45,El Salvador,17.3405,23.3032,0.0258139176053078
46,Estonia,28.6013,33.219,0.0342599549211119
47,Eswatini,14.767999999999999,20.8055,0.0547101449275362
